elapsed, window, total, successful, failed
10.001026, 10.001026, 59, 59, 0
20.001186, 10.00016, 44, 44, 0
30.00142, 10.000234, 51, 51, 0
40.00135, 9.99993, 33, 33, 0
50.001302, 9.999952, 45, 45, 0
60.001474, 10.000172, 58, 58, 0
70.001386, 9.999912, 46, 46, 0
80.001324, 9.999938, 41, 41, 0
90.001534, 10.00021, 48, 48, 0
100.00128, 9.999746, 55, 55, 0
110.001191, 9.999911, 45, 45, 0
120.001241, 10.00005, 54, 54, 0
130.001386, 10.000145, 45, 45, 0
140.00129, 9.999904, 50, 50, 0
150.001311, 10.000021, 51, 51, 0
160.001246, 9.999935, 39, 39, 0
170.001219, 9.999973, 44, 44, 0
180.001238, 10.000019, 52, 52, 0
190.001348, 10.00011, 35, 35, 0
200.001349, 10.000001, 48, 48, 0
210.001166, 9.999817, 42, 42, 0
220.001196, 10.00003, 45, 45, 0
230.001245, 10.000049, 54, 54, 0
240.001154, 9.999909, 45, 45, 0
250.001242, 10.000088, 48, 48, 0
260.001162, 9.99992, 49, 49, 0
270.001146, 9.999984, 50, 50, 0
280.001245, 10.000099, 41, 41, 0
290.00123, 9.999985, 48, 48, 0
300.001667, 10.000437, 43, 43, 0
310.001179, 9.999512, 72, 72, 0
320.001146, 9.999967, 77, 77, 0
330.001159, 10.000013, 81, 81, 0
340.00164, 10.000481, 85, 85, 0
350.001181, 9.999541, 76, 76, 0
360.002461, 10.00128, 66, 66, 0
370.001289, 9.998828, 82, 82, 0
380.001406, 10.000117, 76, 76, 0
390.001454, 10.000048, 76, 76, 0
400.004127, 10.002673, 67, 67, 0
410.001592, 9.997465, 92, 92, 0
420.001149, 9.999557, 80, 80, 0
430.001111, 9.999962, 80, 80, 0
440.001355, 10.000244, 74, 74, 0
450.001909, 10.000554, 76, 76, 0
460.001821, 9.999912, 87, 87, 0
470.001296, 9.999475, 66, 66, 0
480.001204, 9.999908, 70, 70, 0
490.001515, 10.000311, 78, 78, 0
500.002887, 10.001372, 75, 75, 0
510.001291, 9.998404, 79, 79, 0
520.001281, 9.99999, 68, 68, 0
530.001437, 10.000156, 78, 78, 0
540.001524, 10.000087, 70, 70, 0
550.002925, 10.001401, 78, 78, 0
560.001255, 9.99833, 87, 87, 0
570.001575, 10.00032, 91, 91, 0
580.001743, 10.000168, 81, 81, 0
590.001252, 9.999509, 80, 80, 0
600.001373, 10.000121, 65, 65, 0
610.00122, 9.999847, 126, 126, 0
620.001312, 10.000092, 118, 118, 0
630.001279, 9.999967, 100, 100, 0
640.001456, 10.000177, 112, 112, 0
650.001186, 9.99973, 103, 103, 0
660.00118, 9.999994, 97, 97, 0
670.001182, 10.000002, 106, 106, 0
680.001181, 9.999999, 118, 118, 0
690.001322, 10.000141, 126, 126, 0
700.001286, 9.999964, 95, 95, 0
710.001262, 9.999976, 109, 109, 0
720.001325, 10.000063, 118, 118, 0
730.001319, 9.999994, 118, 118, 0
740.002317, 10.000998, 96, 96, 0
750.001179, 9.998862, 109, 109, 0
760.001182, 10.000003, 93, 93, 0
770.001241, 10.000059, 114, 114, 0
780.001189, 9.999948, 111, 111, 0
790.001188, 9.999999, 106, 106, 0
800.001167, 9.999979, 104, 104, 0
810.001316, 10.000149, 98, 98, 0
820.001184, 9.999868, 84, 84, 0
830.001191, 10.000007, 108, 108, 0
840.001259, 10.000068, 104, 103, 1
850.001144, 9.999885, 123, 123, 0
860.001158, 10.000014, 117, 117, 0
870.001242, 10.000084, 100, 100, 0
880.001171, 9.999929, 106, 106, 0
890.001141, 9.99997, 111, 111, 0
900.001211, 10.00007, 106, 106, 0
910.001518, 10.000307, 141, 141, 0
920.001145, 9.999627, 145, 145, 0
930.001148, 10.000003, 133, 133, 0
940.001089, 9.999941, 125, 125, 0
950.001135, 10.000046, 140, 140, 0
960.002093, 10.000958, 119, 119, 0
970.001653, 9.99956, 134, 134, 0
980.004793, 10.00314, 137, 137, 0
990.001577, 9.996784, 149, 149, 0
1000.001308, 9.999731, 127, 127, 0
1010.001413, 10.000105, 129, 129, 0
1020.001219, 9.999806, 148, 148, 0
1030.001228, 10.000009, 128, 128, 0
1040.001358, 10.00013, 120, 120, 0
1050.001149, 9.999791, 134, 134, 0
1060.001402, 10.000253, 126, 126, 0
1070.001147, 9.999745, 111, 111, 0
1080.001154, 10.000007, 128, 128, 0
1090.001194, 10.00004, 145, 145, 0
1100.003659, 10.002465, 141, 141, 0
1110.001263, 9.997604, 134, 134, 0
1120.001346, 10.000083, 132, 132, 0
1130.001415, 10.000069, 134, 134, 0
1140.001486, 10.000071, 129, 129, 0
1150.001536, 10.00005, 141, 141, 0
1160.001488, 9.999952, 133, 133, 0
1170.001142, 9.999654, 133, 133, 0
1180.001146, 10.000004, 134, 134, 0
1190.001138, 9.999992, 135, 135, 0
1200.001997, 10.000859, 128, 128, 0
1201.008347, 1.00635, 13, 13, 0
