elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001026, 10.001026, 6, 2012836, 2019826.2, 2019605, 2031741, 2031741, 2031741, 2031741, 0
20.001186, 10.00016, 5, 2009056, 2018494.4, 2019351, 2034819, 2034819, 2034819, 2034819, 0
30.00142, 10.000234, 6, 2008967, 2014809.9, 2012016, 2034819, 2034819, 2034819, 2034819, 0
40.00135, 9.99993, 5, 2009911, 2015870.0, 2013165, 2027741, 2027741, 2027741, 2027741, 0
50.001302, 9.999952, 0, 0, 0, 0, 0, 0, 0, 0, 0
60.001474, 10.000172, 6, 2008805, 2019509.3, 2012215, 2034069, 2034069, 2034069, 2034069, 0
70.001386, 9.999912, 5, 2010706, 2017997.8, 2015812, 2035051, 2035051, 2035051, 2035051, 0
80.001324, 9.999938, 7, 2009843, 2164178.9, 2010898, 3210781, 3210781, 3210781, 3210781, 0
90.001534, 10.00021, 5, 2008384, 2184369.0, 2009843, 3048958, 3048958, 3048958, 3048958, 0
100.00128, 9.999746, 0, 0, 0, 0, 0, 0, 0, 0, 0
110.001191, 9.999911, 7, 2010988, 2013581.3, 2012929, 2018203, 2018203, 2018203, 2018203, 0
120.001241, 10.00005, 0, 0, 0, 0, 0, 0, 0, 0, 0
130.001386, 10.000145, 7, 2009894, 2011790.9, 2010656, 2015005, 2015005, 2015005, 2015005, 0
140.00129, 9.999904, 0, 0, 0, 0, 0, 0, 0, 0, 0
150.001311, 10.000021, 4, 2008868, 2013821.0, 2011218, 2021493, 2021493, 2021493, 2021493, 0
160.001246, 9.999935, 0, 0, 0, 0, 0, 0, 0, 0, 0
170.001219, 9.999973, 5, 2009148, 2019280.0, 2011005, 2033189, 2033189, 2033189, 2033189, 0
180.001238, 10.000019, 0, 0, 0, 0, 0, 0, 0, 0, 0
190.001348, 10.00011, 0, 0, 0, 0, 0, 0, 0, 0, 0
200.001349, 10.000001, 8, 2009106, 2015774.4, 2012775, 2033473, 2033473, 2033473, 2033473, 0
210.001166, 9.999817, 5, 2011120, 2014122.4, 2012517, 2017914, 2017914, 2017914, 2017914, 0
220.001196, 10.00003, 7, 2012831, 2017356.7, 2017650, 2024997, 2024997, 2024997, 2024997, 0
230.001245, 10.000049, 5, 2012422, 2017447.5, 2013955, 2035467, 2035467, 2035467, 2035467, 0
240.001154, 9.999909, 5, 2019458, 2030265.6, 2032659, 2038165, 2038165, 2038165, 2038165, 0
250.001242, 10.000088, 0, 0, 0, 0, 0, 0, 0, 0, 0
260.001162, 9.99992, 5, 2007290, 2015157.8, 2013167, 2022366, 2022366, 2022366, 2022366, 0
270.001146, 9.999984, 0, 0, 0, 0, 0, 0, 0, 0, 0
280.001245, 10.000099, 0, 0, 0, 0, 0, 0, 0, 0, 0
290.00123, 9.999985, 0, 0, 0, 0, 0, 0, 0, 0, 0
300.001667, 10.000437, 8, 2009163, 2020447.0, 2012899, 2034139, 2034139, 2034139, 2034139, 0
310.001179, 9.999512, 7, 2008486, 2018094.9, 2013638, 2035980, 2035980, 2035980, 2035980, 0
320.001146, 9.999967, 9, 2010465, 2017013.1, 2012943, 2035819, 2035819, 2035819, 2035819, 0
330.001159, 10.000013, 0, 0, 0, 0, 0, 0, 0, 0, 0
340.00164, 10.000481, 8, 2008733, 2053863.1, 2013595, 2325027, 2325027, 2325027, 2325027, 0
350.001181, 9.999541, 9, 2008677, 2051257.0, 2015515, 2325027, 2325027, 2325027, 2325027, 0
360.002461, 10.00128, 7, 2007758, 2245583.6, 2014414, 3834575, 3834575, 3834575, 3834575, 0
370.001289, 9.998828, 8, 2009813, 2054863.6, 2012211, 2327217, 2327217, 2327217, 2327217, 0
380.001406, 10.000117, 11, 2008584, 2017150.2, 2014538, 2034134, 2034361, 2034361, 2034361, 0
390.001454, 10.000048, 12, 2007534, 2016282.9, 2012880, 2033118, 2036077, 2036077, 2036077, 0
400.004127, 10.002673, 6, 2009003, 2328684.7, 2012950, 3907271, 3907271, 3907271, 3907271, 0
410.001592, 9.997465, 5, 2009172, 2016104.8, 2010345, 2031034, 2031034, 2031034, 2031034, 0
420.001149, 9.999557, 6, 2008737, 2015072.8, 2009144, 2034744, 2034744, 2034744, 2034744, 0
430.001111, 9.999962, 9, 2007750, 2012950.0, 2010281, 2022052, 2022052, 2022052, 2022052, 0
