elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001026, 10.001026, 9, 1543551, 1565594.6, 1565957, 1592824, 1592824, 1592824, 1592824, 0
20.001186, 10.00016, 7, 1539269, 1553253.8, 1544136, 1592824, 1592824, 1592824, 1592824, 0
30.00142, 10.000234, 10, 1543218, 1557384.2, 1553042, 1567219, 1567219, 1567219, 1567219, 0
40.00135, 9.99993, 10, 1536854, 1558874.7, 1553502, 1582651, 1592637, 1592637, 1592637, 0
50.001302, 9.999952, 12, 1539633, 1670679.1, 1588570, 1591592, 2675685, 2675685, 2675685, 0
60.001474, 10.000172, 11, 1543566, 1562335.7, 1553643, 1590172, 1593235, 1593235, 1593235, 0
70.001386, 9.999912, 11, 1542491, 1560450.7, 1552854, 1590172, 1592096, 1592096, 1592096, 0
80.001324, 9.999938, 6, 1541778, 1733452.5, 1551784, 2954446, 2954446, 2954446, 2954446, 0
90.001534, 10.00021, 10, 1542964, 1718997.4, 1567028, 3119519, 3119519, 3119519, 3119519, 0
100.00128, 9.999746, 10, 1541086, 1569009.5, 1554588, 1595791, 1595791, 1595791, 1595791, 0
110.001191, 9.999911, 6, 1541086, 1560858.1, 1553891, 1590822, 1590822, 1590822, 1590822, 0
120.001241, 10.00005, 9, 1542618, 1563978.8, 1567307, 1593064, 1593064, 1593064, 1593064, 0
130.001386, 10.000145, 11, 1535334, 1727013.2, 1580792, 2046217, 2810782, 2810782, 2810782, 0
140.00129, 9.999904, 7, 1545165, 1763155.3, 1580958, 2601663, 2601663, 2601663, 2601663, 0
150.001311, 10.000021, 9, 1543544, 1553576.1, 1551007, 1567943, 1567943, 1567943, 1567943, 0
160.001246, 9.999935, 7, 1544133, 1562677.8, 1554772, 1591794, 1591794, 1591794, 1591794, 0
170.001219, 9.999973, 8, 1543844, 1557266.8, 1552971, 1590466, 1590466, 1590466, 1590466, 0
180.001238, 10.000019, 11, 1543721, 1569460.5, 1566391, 1592862, 1592890, 1592890, 1592890, 0
190.001348, 10.00011, 8, 1544528, 1570878.8, 1564273, 1593740, 1593740, 1593740, 1593740, 0
200.001349, 10.000001, 8, 1545160, 1566559.9, 1553720, 1604696, 1604696, 1604696, 1604696, 0
210.001166, 9.999817, 6, 1544171, 1556209.3, 1546035, 1570063, 1570063, 1570063, 1570063, 0
220.001196, 10.00003, 8, 1542964, 1561675.0, 1554556, 1598676, 1598676, 1598676, 1598676, 0
230.001245, 10.000049, 8, 1536169, 1558672.1, 1552799, 1588947, 1588947, 1588947, 1588947, 0
240.001154, 9.999909, 8, 1542844, 1563337.9, 1555507, 1593706, 1593706, 1593706, 1593706, 0
250.001242, 10.000088, 5, 1554031, 1570588.2, 1556132, 1593961, 1593961, 1593961, 1593961, 0
260.001162, 9.99992, 7, 1544799, 1568578.9, 1569042, 1592817, 1592817, 1592817, 1592817, 0
270.001146, 9.999984, 5, 1542867, 1565082.7, 1566930, 1591773, 1591773, 1591773, 1591773, 0
280.001245, 10.000099, 9, 1539854, 1569595.3, 1567071, 1593671, 1593671, 1593671, 1593671, 0
290.00123, 9.999985, 10, 1543990, 1577202.8, 1583082, 1595246, 1595246, 1595246, 1595246, 0
300.001667, 10.000437, 10, 1536082, 1556953.2, 1554630, 1570568, 1580036, 1580036, 1580036, 0
310.001179, 9.999512, 15, 1543230, 1556077.1, 1549966, 1588775, 1592168, 1592168, 1592168, 0
320.001146, 9.999967, 19, 1539099, 1562348.0, 1552880, 1593819, 1596034, 1596034, 1596034, 0
330.001159, 10.000013, 15, 1538770, 1564596.0, 1562553, 1593794, 1596893, 1596893, 1596893, 0
340.00164, 10.000481, 18, 1538770, 1558729.3, 1552755, 1593927, 1597449, 1597449, 1597449, 0
350.001181, 9.999541, 18, 1536792, 1556809.8, 1554624, 1590296, 1593540, 1593540, 1593540, 0
360.002461, 10.00128, 14, 1543688, 1557571.0, 1553969, 1568040, 1596220, 1596220, 1596220, 0
370.001289, 9.998828, 18, 1542885, 1561814.6, 1562995, 1588834, 1594339, 1594339, 1594339, 0
380.001406, 10.000117, 12, 1540769, 1592034.9, 1554141, 1608119, 1900374, 1900374, 1900374, 0
390.001454, 10.000048, 15, 1540291, 1608847.1, 1551741, 1592535, 2364078, 2364078, 2364078, 0
400.004127, 10.002673, 17, 1542115, 1560051.9, 1555771, 1591395, 1597228, 1597228, 1597228, 0
410.001592, 9.997465, 12, 1550082, 1562577.6, 1554349, 1591228, 1594683, 1594683, 1594683, 0
420.001149, 9.999557, 12, 1539929, 1564262.1, 1554849, 1590860, 1592184, 1592184, 1592184, 0
430.001111, 9.999962, 15, 1533547, 1562974.9, 1556052, 1588625, 1589783, 1589783, 1589783, 0
440.001355, 10.000244, 16, 1540863, 1556733.2, 1552948, 1578636, 1590589, 1590589, 1590589, 0
450.001909, 10.000554, 12, 1543189, 1557264.8, 1553491, 1570546, 1593198, 1593198, 1593198, 0
460.001821, 9.999912, 13, 1544451, 1557495.6, 1553909, 1569999, 1588589, 1588589, 1588589, 0
470.001296, 9.999475, 18, 1543370, 1563829.1, 1554691, 1592296, 1596127, 1596127, 1596127, 0
480.001204, 9.999908, 16, 1535161, 1557169.4, 1552921, 1593432, 1596127, 1596127, 1596127, 0
490.001515, 10.000311, 20, 1538287, 1558623.0, 1555516, 1589066, 1591898, 1591898, 1591898, 0
500.002887, 10.001372, 13, 1538575, 1581268.4, 1552615, 1593736, 1846545, 1846545, 1846545, 0
510.001291, 9.998404, 13, 1543006, 1565054.2, 1548377, 1596396, 1606738, 1606738, 1606738, 0
520.001281, 9.99999, 17, 1542104, 1562621.9, 1554769, 1590138, 1592246, 1592246, 1592246, 0
530.001437, 10.000156, 19, 1534952, 1563353.7, 1553943, 1596293, 1600286, 1600286, 1600286, 0
540.001524, 10.000087, 19, 1538297, 1566853.9, 1561350, 1594040, 1594371, 1594371, 1594371, 0
550.002925, 10.001401, 17, 1534302, 1560139.0, 1552869, 1594747, 1600864, 1600864, 1600864, 0
560.001255, 9.99833, 20, 1543168, 1559963.5, 1551954, 1592045, 1598098, 1598098, 1598098, 0
570.001575, 10.00032, 18, 1538186, 1595892.3, 1554349, 1593018, 2258359, 2258359, 2258359, 0
580.001743, 10.000168, 14, 1544169, 1566579.9, 1554601, 1591977, 1592324, 1592324, 1592324, 0
590.001252, 9.999509, 11, 1541533, 1556020.5, 1554300, 1566969, 1567653, 1567653, 1567653, 0
600.001373, 10.000121, 19, 1541614, 1564032.5, 1558337, 1590800, 1593444, 1593444, 1593444, 0
610.00122, 9.999847, 21, 1543376, 1562297.7, 1559242, 1590563, 1592346, 1592346, 1592346, 0
620.001312, 10.000092, 26, 1537664, 1560901.5, 1555668, 1590278, 1595724, 1595724, 1595724, 0
630.001279, 9.999967, 20, 1537323, 1612226.4, 1554099, 1948768, 2314230, 2314230, 2314230, 0
640.001456, 10.000177, 24, 1542954, 1600493.0, 1565129, 1592640, 2468899, 2468899, 2468899, 0
650.001186, 9.99973, 21, 1540137, 1581906.0, 1554102, 1591566, 2020430, 2020430, 2020430, 0
660.00118, 9.999994, 22, 1544516, 1563489.1, 1560235, 1590451, 1590692, 1590692, 1590692, 0
670.001182, 10.000002, 20, 1537269, 1556765.6, 1553691, 1591821, 1591999, 1591999, 1591999, 0
680.001181, 9.999999, 28, 1541078, 1566595.8, 1564062, 1593024, 1594998, 1594998, 1594998, 0
690.001322, 10.000141, 29, 1532783, 1589967.0, 1572087, 1611987, 2070291, 2070291, 2070291, 0
700.001286, 9.999964, 24, 1535933, 1681599.5, 1568281, 2623905, 3090974, 3090974, 3090974, 0
710.001262, 9.999976, 28, 1542866, 1610443.0, 1554101, 1593622, 2942433, 2942433, 2942433, 0
720.001325, 10.000063, 19, 1530793, 1618090.8, 1555812, 1597098, 2729498, 2729498, 2729498, 0
730.001319, 9.999994, 24, 1535829, 1561416.2, 1555721, 1594542, 1594674, 1594674, 1594674, 0
740.002317, 10.000998, 32, 1535885, 1588866.3, 1556105, 1593793, 2548606, 2548606, 2548606, 0
750.001179, 9.998862, 24, 1534712, 1555759.7, 1549921, 1591144, 1593254, 1593254, 1593254, 0
760.001182, 10.000003, 19, 1543729, 1557897.4, 1552853, 1592368, 1592879, 1592879, 1592879, 0
770.001241, 10.000059, 18, 1541587, 1559257.7, 1555760, 1591532, 1594544, 1594544, 1594544, 0
780.001189, 9.999948, 23, 1538677, 1560523.6, 1549664, 1591443, 1593549, 1593549, 1593549, 0
790.001188, 9.999999, 22, 1533735, 1570593.5, 1552476, 1593504, 1917224, 1917224, 1917224, 0
800.001167, 9.999979, 15, 1542885, 1580334.9, 1552042, 1593629, 1917224, 1917224, 1917224, 0
810.001316, 10.000149, 20, 1542098, 1559594.8, 1553428, 1591750, 1592403, 1592403, 1592403, 0
820.001184, 9.999868, 23, 1541746, 1562821.3, 1560162, 1592403, 1592588, 1592588, 1592588, 0
830.001191, 10.000007, 24, 1540913, 1591971.9, 1553780, 1591745, 2446428, 2446428, 2446428, 0
840.001259, 10.000068, 15, 1543856, 1556726.0, 1553091, 1586652, 1589341, 1589341, 1589341, 0
850.001144, 9.999885, 19, 1531362, 1564001.9, 1550004, 1590568, 1728017, 1728017, 1728017, 0
860.001158, 10.000014, 21, 1542593, 1559234.4, 1553736, 1589814, 1590287, 1590287, 1590287, 0
870.001242, 10.000084, 15, 1534357, 1562137.3, 1559154, 1590686, 1591060, 1591060, 1591060, 0
880.001171, 9.999929, 19, 1534357, 1567674.8, 1567080, 1596611, 1597783, 1597783, 1597783, 0
890.001141, 9.99997, 28, 1534166, 1574419.1, 1554688, 1598783, 1886565, 1886565, 1886565, 0
900.001211, 10.00007, 23, 1534711, 1642049.3, 1557344, 2310452, 2885047, 2885047, 2885047, 0
910.001518, 10.000307, 26, 1538157, 1605536.9, 1554214, 1710767, 2731222, 2731222, 2731222, 0
920.001145, 9.999627, 23, 1530642, 1559050.6, 1555278, 1591440, 1593830, 1593830, 1593830, 0
930.001148, 10.000003, 28, 1542600, 1610265.3, 1553244, 1591440, 3049877, 3049877, 3049877, 0
940.001089, 9.999941, 26, 1540062, 1586287.3, 1552222, 1594784, 2360809, 2360809, 2360809, 0
950.001135, 10.000046, 29, 1541592, 1566971.5, 1561766, 1594206, 1662305, 1662305, 1662305, 0
960.002093, 10.000958, 17, 1540809, 1563580.6, 1558487, 1593596, 1604602, 1604602, 1604602, 0
970.001653, 9.99956, 34, 1537269, 1560723.5, 1555788, 1592732, 1593596, 1593596, 1593596, 0
980.004793, 10.00314, 23, 1534218, 1552114.4, 1548010, 1578745, 1581807, 1581807, 1581807, 0
990.001577, 9.996784, 21, 1535675, 1562156.8, 1554450, 1591994, 1592589, 1592589, 1592589, 0
1000.001308, 9.999731, 27, 1543565, 1562937.0, 1560232, 1591522, 1592051, 1592051, 1592051, 0
1010.001413, 10.000105, 30, 1537403, 1591341.6, 1561125, 1977394, 2060647, 2060647, 2060647, 0
