elapsed, window, total, successful, failed
10.001275, 10.001275, 1184, 1184, 0
20.000952, 9.999677, 1178, 1178, 0
30.001987, 10.001035, 1196, 1196, 0
40.001982, 9.999995, 1195, 1195, 0
50.001983, 10.000001, 1285, 1285, 0
60.002087, 10.000104, 1250, 1250, 0
70.001194, 9.999107, 1228, 1228, 0
80.000877, 9.999683, 1308, 1308, 0
90.0025, 10.001623, 1192, 1192, 0
100.000997, 9.998497, 1264, 1264, 0
110.001975, 10.000978, 1204, 1204, 0
120.002002, 10.000027, 1255, 1255, 0
130.001987, 9.999985, 1221, 1221, 0
140.002702, 10.000715, 1235, 1235, 0
150.000957, 9.998255, 1205, 1205, 0
160.001936, 10.000979, 1250, 1250, 0
170.002096, 10.00016, 1233, 1233, 0
180.001689, 9.999593, 1249, 1249, 0
190.001094, 9.999405, 1179, 1179, 0
200.001246, 10.000152, 1213, 1213, 0
210.000953, 9.999707, 1262, 1262, 0
220.002009, 10.001056, 1238, 1238, 0
230.00223, 10.000221, 1192, 1192, 0
240.001063, 9.998833, 1167, 1167, 0
250.000928, 9.999865, 1230, 1230, 0
260.002001, 10.001073, 1234, 1234, 0
270.002053, 10.000052, 1221, 1221, 0
280.001006, 9.998953, 1239, 1239, 0
290.001955, 10.000949, 1241, 1241, 0
300.001971, 10.000016, 1200, 1200, 0
310.002341, 10.00037, 1259, 1259, 0
320.000909, 9.998568, 1239, 1239, 0
330.002213, 10.001304, 1257, 1257, 0
340.001034, 9.998821, 1232, 1232, 0
350.002037, 10.001003, 1269, 1269, 0
360.002021, 9.999984, 1222, 1222, 0
370.004739, 10.002718, 1230, 1230, 0
380.022526, 10.017787, 1197, 1197, 0
390.034528, 10.012002, 1240, 1240, 0
400.040343, 10.005815, 1216, 1216, 0
410.042309, 10.001966, 1211, 1211, 0
420.029185, 9.986876, 1210, 1210, 0
430.002717, 9.973532, 1240, 1240, 0
440.00137, 9.998653, 1274, 1274, 0
450.001456, 10.000086, 1289, 1289, 0
460.001044, 9.999588, 1235, 1235, 0
470.001998, 10.000954, 1262, 1262, 0
480.002077, 10.000079, 1221, 1221, 0
490.003219, 10.001142, 1271, 1271, 0
500.001274, 9.998055, 1199, 1199, 0
510.00213, 10.000856, 1229, 1229, 0
520.003264, 10.001134, 1227, 1227, 0
530.001656, 9.998392, 1273, 1273, 0
540.001517, 9.999861, 1278, 1278, 0
550.000871, 9.999354, 1266, 1266, 0
560.001882, 10.001011, 1247, 1247, 0
570.001887, 10.000005, 1203, 1203, 0
580.005875, 10.003988, 1261, 1261, 0
590.002241, 9.996366, 1217, 1217, 0
600.001073, 9.998832, 1180, 1180, 0
601.008119, 1.007046, 116, 116, 0
