elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.001275, 10.001275, 454, 476, 1687.2, 1344, 3784, 5713, 37386, 37386, 0
20.000952, 9.999677, 463, 499, 1506.9, 1346, 3064, 5725, 7030, 7030, 0
30.001987, 10.001035, 497, 504, 1584.5, 1425, 3403, 5397, 5934, 6169, 0
40.001982, 9.999995, 491, 491, 1451.0, 1330, 2495, 4706, 5186, 6497, 0
50.001983, 10.000001, 533, 539, 1377.6, 1258, 2083, 4201, 6219, 6959, 0
60.002087, 10.000104, 484, 516, 1293.6, 1175, 2285, 3363, 4184, 5189, 0
70.001194, 9.999107, 483, 631, 1374.9, 1334, 1999, 2393, 4688, 5189, 0
80.000877, 9.999683, 534, 541, 1323.2, 1275, 2030, 2966, 5204, 5348, 0
90.0025, 10.001623, 495, 545, 1398.6, 1385, 2152, 3303, 4337, 5124, 0
100.000997, 9.998497, 496, 520, 1315.3, 1294, 1928, 2799, 4888, 5126, 0
110.001975, 10.000978, 504, 507, 1353.1, 1358, 1904, 2556, 3405, 4362, 0
120.002002, 10.000027, 529, 517, 1273.9, 1281, 1893, 2347, 3825, 4511, 0
130.001987, 9.999985, 494, 498, 1397.9, 1408, 2181, 3478, 5396, 5874, 0
140.002702, 10.000715, 503, 579, 1439.2, 1405, 2347, 3363, 5139, 6876, 0
150.000957, 9.998255, 485, 506, 1393.5, 1384, 2334, 3333, 4363, 4640, 0
160.001936, 10.000979, 500, 537, 1433.1, 1398, 2290, 3987, 4941, 5186, 0
170.002096, 10.00016, 486, 620, 1445.5, 1427, 2120, 2910, 4605, 4845, 0
180.001689, 9.999593, 501, 563, 1280.3, 1235, 1998, 2490, 5899, 6215, 0
190.001094, 9.999405, 482, 501, 1385.8, 1403, 1920, 2512, 2958, 3580, 0
200.001246, 10.000152, 463, 622, 1438.1, 1432, 2106, 3118, 4450, 4450, 0
210.000953, 9.999707, 498, 494, 1260.2, 1275, 1708, 2300, 3412, 3633, 0
220.002009, 10.001056, 501, 582, 1293.2, 1335, 1779, 2123, 2942, 3079, 0
230.00223, 10.000221, 443, 523, 1344.8, 1374, 1900, 2269, 2780, 2780, 0
240.001063, 9.998833, 482, 561, 1211.4, 1205, 1809, 2049, 2340, 2415, 0
250.000928, 9.999865, 509, 538, 1328.9, 1334, 1799, 2280, 2748, 5054, 0
260.002001, 10.001073, 496, 510, 1358.2, 1383, 1812, 2278, 2519, 3179, 0
270.002053, 10.000052, 504, 599, 1366.5, 1389, 1824, 2529, 3561, 3688, 0
280.001006, 9.998953, 486, 560, 1294.4, 1315, 1817, 2089, 2620, 3197, 0
290.001955, 10.000949, 497, 656, 1359.4, 1399, 1840, 2373, 2752, 2985, 0
300.001971, 10.000016, 473, 553, 1234.8, 1219, 1782, 2266, 2553, 2553, 0
310.002341, 10.00037, 484, 525, 1319.4, 1344, 1809, 2255, 3326, 3329, 0
320.000909, 9.998568, 498, 632, 1334.2, 1332, 1833, 2270, 3456, 4571, 0
330.002213, 10.001304, 477, 562, 1346.1, 1370, 1825, 2758, 3194, 3227, 0
340.001034, 9.998821, 500, 626, 1353.5, 1384, 1797, 2237, 2985, 3266, 0
