elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000818, 10.000818, 357, 557, 8382.3, 2519, 39219, 91299, 125199, 125199, 0
20.0017, 10.000882, 354, 604, 9766.6, 2492, 43754, 123715, 153713, 153713, 0
30.00188, 10.00018, 374, 692, 10151.0, 2121, 56317, 134819, 159284, 159284, 0
40.001951, 10.000071, 354, 648, 9057.3, 2348, 55176, 124860, 164516, 164516, 0
50.00189, 9.999939, 349, 644, 6826.9, 2171, 25763, 108216, 143260, 143260, 0
60.002345, 10.000455, 376, 845, 8496.4, 2513, 44694, 124812, 166744, 166744, 0
70.000721, 9.998376, 354, 859, 3495.7, 2277, 8758, 27453, 60265, 60265, 0
80.001832, 10.001111, 377, 1028, 4358.6, 2406, 14029, 40186, 60516, 60516, 0
90.001931, 10.000099, 350, 725, 5094.9, 2444, 18314, 55999, 70402, 70402, 0
100.001714, 9.999783, 379, 857, 5341.0, 2213, 13507, 111698, 163839, 163839, 0
110.001758, 10.000044, 382, 980, 5112.8, 2262, 10074, 132994, 159629, 159629, 0
120.001561, 9.999803, 336, 829, 5352.4, 2317, 13381, 83876, 150036, 150036, 0
130.001614, 10.000053, 389, 829, 3980.9, 2476, 11019, 35311, 53359, 53359, 0
140.001746, 10.000132, 349, 1111, 3294.4, 2425, 7725, 23148, 28879, 28879, 0
150.00162, 9.999874, 350, 1061, 3478.6, 2425, 6677, 22358, 111004, 111004, 0
160.001565, 9.999945, 358, 1026, 3364.6, 2458, 7563, 17313, 37932, 37932, 0
170.001713, 10.000148, 368, 940, 3202.4, 2516, 6882, 17289, 28127, 28127, 0
180.001622, 9.999909, 368, 1152, 3286.8, 2398, 7935, 21886, 29326, 29326, 0
190.001672, 10.00005, 352, 921, 3037.4, 2357, 6753, 13714, 30903, 30903, 0
200.001603, 9.999931, 385, 1174, 3199.7, 2435, 7163, 13855, 28056, 28056, 0
210.001662, 10.000059, 374, 986, 3847.6, 2513, 10152, 30383, 57499, 57499, 0
220.001695, 10.000033, 372, 1078, 3579.9, 2517, 9684, 25748, 31204, 31204, 0
230.001554, 9.999859, 353, 894, 3107.4, 2433, 6956, 14637, 28165, 28165, 0
240.001679, 10.000125, 341, 913, 3186.9, 2315, 7187, 24814, 33128, 33128, 0
250.003117, 10.001438, 368, 1037, 3257.7, 2433, 7384, 16290, 30182, 30182, 0
260.000627, 9.99751, 384, 1122, 3280.0, 2527, 7261, 14627, 27986, 27986, 0
270.001651, 10.001024, 364, 1046, 3610.6, 2481, 8226, 24515, 111514, 111514, 0
280.00165, 9.999999, 343, 1088, 3950.2, 2553, 9653, 24213, 113671, 113671, 0
290.001577, 9.999927, 391, 922, 3950.1, 2526, 9653, 28650, 57857, 57857, 0
300.001616, 10.000039, 383, 893, 3228.4, 2324, 7730, 22050, 37897, 37897, 0
310.00173, 10.000114, 369, 978, 5199.3, 2418, 16964, 50677, 130165, 130165, 0
320.001608, 9.999878, 369, 989, 3712.5, 2337, 9830, 25939, 55683, 55683, 0
330.001627, 10.000019, 366, 840, 2676.3, 1831, 7099, 15228, 29108, 29108, 0
340.001661, 10.000034, 362, 1093, 3129.3, 2105, 7988, 24196, 31127, 31127, 0
350.001718, 10.000057, 353, 961, 3000.3, 1934, 7631, 26967, 33736, 33736, 0
360.001713, 9.999995, 349, 1175, 3177.6, 2383, 8060, 20647, 33103, 33103, 0
370.001863, 10.00015, 364, 935, 3480.9, 2626, 7422, 26537, 33852, 33852, 0
380.00178, 9.999917, 383, 1129, 3392.7, 2627, 7393, 14159, 33104, 33104, 0
390.00173, 9.99995, 364, 1130, 3250.0, 2477, 6836, 15109, 34679, 34679, 0
400.001596, 9.999866, 381, 1009, 3339.6, 2536, 6540, 21237, 36943, 36943, 0
410.001619, 10.000023, 346, 1135, 3519.1, 2571, 8051, 25072, 31950, 31950, 0
420.00162, 10.000001, 424, 913, 2975.0, 2364, 5726, 16962, 28110, 28110, 0
430.001566, 9.999946, 395, 913, 3069.9, 2278, 6737, 18850, 26701, 26701, 0
440.001634, 10.000068, 357, 943, 3260.7, 2250, 7537, 30850, 35398, 35398, 0
450.001766, 10.000132, 392, 967, 2725.0, 2078, 6049, 12880, 31275, 31275, 0
460.00166, 9.999894, 332, 837, 2968.6, 1969, 8171, 23989, 31275, 31275, 0
470.00182, 10.00016, 382, 1086, 2683.9, 1926, 6056, 14860, 31972, 31972, 0
480.00162, 9.9998, 378, 1068, 2718.4, 1852, 7518, 17700, 34185, 34185, 0
490.001708, 10.000088, 386, 1068, 2807.0, 1922, 6467, 19641, 39024, 39024, 0
500.001661, 9.999953, 389, 984, 2614.3, 1892, 6082, 14507, 32955, 32955, 0
510.001779, 10.000118, 389, 1113, 2658.0, 1837, 6853, 18133, 27999, 27999, 0
520.001684, 9.999905, 382, 1076, 2993.0, 1955, 8867, 19316, 32260, 32260, 0
530.001598, 9.999914, 375, 1097, 3018.9, 1864, 8580, 29440, 35763, 35763, 0
540.001729, 10.000131, 368, 1097, 2834.0, 1889, 6141, 26987, 31177, 31177, 0
550.001792, 10.000063, 382, 1051, 2704.5, 1771, 6693, 24761, 40794, 40794, 0
560.001864, 10.000072, 377, 1132, 2723.2, 1828, 7425, 15744, 31794, 31794, 0
