elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000951, 10.000951, 46, 409, 1588.2, 1146, 4678, 5445, 5445, 5445, 0
20.001723, 10.000772, 35, 616, 1245.3, 1131, 1454, 4678, 4678, 4678, 0
30.001512, 9.999789, 44, 394, 1025.6, 1032, 1615, 4802, 4802, 4802, 0
40.001704, 10.000192, 31, 501, 1517.8, 1052, 5128, 6040, 6040, 6040, 0
50.001641, 9.999937, 44, 369, 1020.2, 708, 3708, 5626, 5626, 5626, 0
60.001861, 10.00022, 33, 373, 1172.9, 963, 1256, 6564, 6564, 6564, 0
70.001885, 10.000024, 38, 487, 1081.8, 1032, 1285, 4770, 4770, 4770, 0
80.001703, 9.999818, 53, 384, 992.6, 720, 1201, 4916, 5776, 5776, 0
90.001845, 10.000142, 41, 454, 1042.9, 970, 1215, 5005, 5005, 5005, 0
100.001639, 9.999794, 30, 440, 1207.1, 875, 4458, 5891, 5891, 5891, 0
110.001556, 9.999917, 47, 305, 891.4, 959, 1350, 1799, 1799, 1799, 0
120.001666, 10.00011, 47, 452, 987.1, 693, 2230, 6042, 6042, 6042, 0
130.00146, 9.999794, 35, 411, 1117.8, 955, 1388, 5793, 5793, 5793, 0
140.001558, 10.000098, 32, 282, 874.2, 704, 1182, 5401, 5401, 5401, 0
150.001466, 9.999908, 32, 410, 857.8, 749, 1279, 2551, 2551, 2551, 0
160.001597, 10.000131, 56, 282, 934.4, 725, 1172, 4965, 5924, 5924, 0
170.001543, 9.999946, 47, 342, 975.2, 744, 2397, 5028, 5028, 5028, 0
180.00155, 10.000007, 48, 413, 966.4, 971, 1148, 4573, 4573, 4573, 0
190.001648, 10.000098, 47, 451, 1064.7, 937, 2842, 5529, 5529, 5529, 0
200.001672, 10.000024, 33, 529, 1468.8, 1003, 5270, 6338, 6338, 6338, 0
210.00159, 9.999918, 44, 323, 1166.2, 1041, 1455, 6140, 6140, 6140, 0
220.001616, 10.000026, 39, 412, 1164.9, 1018, 1988, 4748, 4748, 4748, 0
230.001729, 10.000113, 41, 421, 1063.8, 1047, 1258, 4629, 4629, 4629, 0
240.001571, 9.999842, 34, 385, 980.8, 1031, 1289, 3025, 3025, 3025, 0
250.001493, 9.999922, 58, 429, 1131.5, 1057, 1288, 2247, 6064, 6064, 0
260.001477, 9.999984, 38, 351, 1027.3, 1094, 1256, 1722, 1722, 1722, 0
270.001607, 10.00013, 40, 452, 1056.8, 1037, 1288, 3017, 3017, 3017, 0
280.001503, 9.999896, 46, 443, 1315.2, 1030, 3993, 7051, 7051, 7051, 0
290.00148, 9.999977, 33, 448, 1122.5, 1066, 1253, 5876, 5876, 5876, 0
300.001543, 10.000063, 33, 373, 1231.3, 1070, 3459, 5163, 5163, 5163, 0
310.001517, 9.999974, 57, 414, 1120.1, 825, 4487, 5363, 5643, 5643, 0
320.001478, 9.999961, 63, 298, 1062.7, 1055, 1827, 2168, 3132, 3132, 0
330.00156, 10.000082, 49, 486, 1416.2, 1057, 4647, 5744, 6418, 6418, 0
340.001543, 9.999983, 58, 344, 1162.4, 1040, 2439, 4167, 5675, 5675, 0
350.001498, 9.999955, 49, 417, 1241.5, 1025, 4096, 5121, 5155, 5155, 0
360.001701, 10.000203, 53, 338, 1117.6, 1045, 1584, 4044, 4666, 4666, 0
370.001559, 9.999858, 57, 267, 1044.9, 973, 1362, 3959, 5683, 5683, 0
380.001448, 9.999889, 49, 438, 1122.2, 1117, 1426, 1521, 4991, 4991, 0
390.001669, 10.000221, 60, 361, 970.7, 998, 1309, 1450, 5620, 5620, 0
400.001593, 9.999924, 46, 437, 1131.1, 1039, 2825, 4606, 4606, 4606, 0
410.001515, 9.999922, 47, 409, 974.9, 1015, 1601, 2672, 2672, 2672, 0
420.001804, 10.000289, 53, 339, 1177.0, 1060, 1637, 4702, 6324, 6324, 0
430.001502, 9.999698, 41, 448, 923.8, 954, 1297, 2283, 2283, 2283, 0
440.001751, 10.000249, 60, 321, 1024.6, 1016, 1313, 2745, 4660, 4660, 0
450.001578, 9.999827, 49, 376, 910.6, 955, 1254, 1333, 1333, 1333, 0
460.001507, 9.999929, 56, 446, 905.4, 901, 1333, 1578, 2232, 2232, 0
470.00151, 10.000003, 65, 473, 1046.3, 1036, 1432, 1776, 4802, 4802, 0
480.001766, 10.000256, 47, 425, 979.7, 1054, 1326, 1531, 1531, 1531, 0
490.001676, 9.99991, 62, 414, 967.1, 1009, 1330, 2944, 2956, 2956, 0
500.001602, 9.999926, 62, 458, 1096.6, 1058, 1382, 4136, 5047, 5047, 0
510.001566, 9.999964, 53, 385, 1035.3, 1076, 1319, 1995, 4247, 4247, 0
520.001536, 9.99997, 57, 398, 1102.7, 1078, 2078, 2307, 4543, 4543, 0
530.00159, 10.000054, 55, 448, 1194.0, 1102, 2169, 4543, 4596, 4596, 0
540.00156, 9.99997, 44, 356, 1009.0, 1039, 1545, 1917, 1917, 1917, 0
550.001474, 9.999914, 64, 344, 867.3, 699, 1299, 2843, 4905, 4905, 0
560.001512, 10.000038, 48, 507, 1111.7, 984, 1628, 4700, 4905, 4905, 0
570.001673, 10.000161, 53, 406, 1118.0, 992, 1668, 4671, 5333, 5333, 0
579.998861, 9.997188, 50, 377, 1062.2, 1017, 2229, 3565, 4573, 4573, 0
