elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000951, 10.000951, 0, 0, 0, 0, 0, 0, 0, 0, 0
20.001723, 10.000772, 11, 2009015, 2017848.3, 2016929, 2031016, 2032002, 2032002, 2032002, 0
30.001512, 9.999789, 6, 2009015, 2016429.7, 2014801, 2033603, 2033603, 2033603, 2033603, 0
40.001704, 10.000192, 0, 0, 0, 0, 0, 0, 0, 0, 0
50.001641, 9.999937, 5, 2009159, 2016446.2, 2013218, 2033647, 2033647, 2033647, 2033647, 0
60.001861, 10.00022, 5, 2008124, 2009138.4, 2009034, 2010558, 2010558, 2010558, 2010558, 0
70.001885, 10.000024, 0, 0, 0, 0, 0, 0, 0, 0, 0
80.001703, 9.999818, 0, 0, 0, 0, 0, 0, 0, 0, 0
90.001845, 10.000142, 0, 0, 0, 0, 0, 0, 0, 0, 0
100.001639, 9.999794, 9, 2006893, 2010572.3, 2010405, 2014998, 2014998, 2014998, 2014998, 0
110.001556, 9.999917, 7, 2009351, 2018532.7, 2012831, 2037115, 2037115, 2037115, 2037115, 0
120.001666, 10.00011, 6, 2006015, 2021475.0, 2016841, 2033537, 2033537, 2033537, 2033537, 0
130.00146, 9.999794, 6, 2010034, 2015447.8, 2014331, 2023122, 2023122, 2023122, 2023122, 0
140.001558, 10.000098, 0, 0, 0, 0, 0, 0, 0, 0, 0
150.001466, 9.999908, 9, 2009035, 2015418.4, 2011507, 2037782, 2037782, 2037782, 2037782, 0
160.001597, 10.000131, 0, 0, 0, 0, 0, 0, 0, 0, 0
170.001543, 9.999946, 6, 2008367, 2017773.7, 2017159, 2031447, 2031447, 2031447, 2031447, 0
180.00155, 10.000007, 9, 2008296, 2013381.8, 2010647, 2032445, 2032445, 2032445, 2032445, 0
190.001648, 10.000098, 0, 0, 0, 0, 0, 0, 0, 0, 0
200.001672, 10.000024, 8, 2008740, 2011873.4, 2010280, 2018368, 2018368, 2018368, 2018368, 0
210.00159, 9.999918, 8, 2009242, 2014425.3, 2011433, 2035755, 2035755, 2035755, 2035755, 0
220.001616, 10.000026, 9, 2009655, 2020033.4, 2018503, 2035256, 2035256, 2035256, 2035256, 0
230.001729, 10.000113, 6, 2009315, 2019425.1, 2018764, 2033709, 2033709, 2033709, 2033709, 0
240.001571, 9.999842, 0, 0, 0, 0, 0, 0, 0, 0, 0
250.001493, 9.999922, 9, 2008625, 2016050.7, 2011896, 2034886, 2034886, 2034886, 2034886, 0
260.001477, 9.999984, 7, 2006801, 2016941.0, 2011601, 2034149, 2034149, 2034149, 2034149, 0
270.001607, 10.00013, 0, 0, 0, 0, 0, 0, 0, 0, 0
280.001503, 9.999896, 8, 2008933, 2022887.3, 2016044, 2033438, 2033438, 2033438, 2033438, 0
290.00148, 9.999977, 0, 0, 0, 0, 0, 0, 0, 0, 0
300.001543, 10.000063, 5, 2009033, 2021716.2, 2017507, 2034804, 2034804, 2034804, 2034804, 0
310.001517, 9.999974, 11, 2007931, 2017974.7, 2015713, 2031661, 2032952, 2032952, 2032952, 0
320.001478, 9.999961, 9, 2006410, 2022021.9, 2016520, 2034501, 2034501, 2034501, 2034501, 0
330.00156, 10.000082, 11, 2007782, 2012168.3, 2010016, 2019059, 2019167, 2019167, 2019167, 0
340.001543, 9.999983, 10, 2008163, 2015619.3, 2014013, 2021608, 2031205, 2031205, 2031205, 0
350.001498, 9.999955, 6, 2008799, 2020555.4, 2017988, 2036927, 2036927, 2036927, 2036927, 0
360.001701, 10.000203, 10, 2008855, 2022123.7, 2016662, 2038153, 2038153, 2038153, 2038153, 0
370.001559, 9.999858, 6, 2006845, 2020441.5, 2016082, 2039632, 2039632, 2039632, 2039632, 0
380.001448, 9.999889, 8, 2008265, 2014664.3, 2011251, 2033396, 2033396, 2033396, 2033396, 0
390.001669, 10.000221, 0, 0, 0, 0, 0, 0, 0, 0, 0
