elapsed, window, total, successful, failed
10.000764, 10.000764, 25, 25, 0
20.001758, 10.000994, 25, 25, 0
30.001781, 10.000023, 23, 23, 0
40.001853, 10.000072, 26, 26, 0
50.001874, 10.000021, 19, 19, 0
60.001802, 9.999928, 24, 24, 0
70.001885, 10.000083, 20, 20, 0
80.001829, 9.999944, 29, 29, 0
90.002013, 10.000184, 21, 21, 0
100.00183, 9.999817, 17, 17, 0
110.00172, 9.99989, 20, 20, 0
120.001908, 10.000188, 25, 25, 0
130.001965, 10.000057, 24, 24, 0
140.001666, 9.999701, 17, 17, 0
150.001721, 10.000055, 23, 23, 0
160.001718, 9.999997, 31, 31, 0
170.002002, 10.000284, 29, 29, 0
180.00191, 9.999908, 27, 27, 0
190.001721, 9.999811, 29, 29, 0
200.001869, 10.000148, 28, 28, 0
210.001725, 9.999856, 23, 23, 0
220.00187, 10.000145, 26, 26, 0
230.001855, 9.999985, 28, 28, 0
240.001841, 9.999986, 27, 27, 0
250.001825, 9.999984, 29, 29, 0
260.00181, 9.999985, 23, 23, 0
270.001728, 9.999918, 37, 37, 0
280.001745, 10.000017, 24, 24, 0
290.001721, 9.999976, 31, 31, 0
300.002408, 10.000687, 24, 24, 0
310.002458, 10.00005, 68, 68, 0
320.001132, 9.998674, 58, 58, 0
330.000754, 9.999622, 51, 51, 0
340.001667, 10.000913, 48, 48, 0
350.001835, 10.000168, 72, 72, 0
360.001679, 9.999844, 70, 70, 0
370.001646, 9.999967, 50, 50, 0
380.001727, 10.000081, 60, 60, 0
390.001729, 10.000002, 58, 58, 0
400.001992, 10.000263, 58, 58, 0
410.003414, 10.001422, 56, 56, 0
420.000994, 9.99758, 45, 45, 0
430.00169, 10.000696, 62, 62, 0
440.001685, 9.999995, 63, 63, 0
450.001677, 9.999992, 66, 66, 0
460.002099, 10.000422, 57, 57, 0
470.001002, 9.998903, 65, 65, 0
480.004622, 10.00362, 58, 58, 0
490.00341, 9.998788, 56, 56, 0
500.001, 9.99759, 66, 66, 0
510.00175, 10.00075, 62, 62, 0
520.001682, 9.999932, 61, 61, 0
530.001748, 10.000066, 69, 69, 0
540.001751, 10.000003, 63, 63, 0
550.001657, 9.999906, 68, 68, 0
560.002936, 10.001279, 60, 60, 0
570.001814, 9.998878, 69, 69, 0
580.001634, 9.99982, 67, 67, 0
590.001873, 10.000239, 49, 49, 0
600.001838, 9.999965, 59, 59, 0
610.001697, 9.999859, 78, 78, 0
620.001799, 10.000102, 69, 69, 0
630.001983, 10.000184, 94, 94, 0
640.001713, 9.99973, 80, 80, 0
650.001838, 10.000125, 75, 75, 0
660.001818, 9.99998, 71, 71, 0
670.001847, 10.000029, 81, 81, 0
680.001826, 9.999979, 82, 82, 0
690.001809, 9.999983, 88, 88, 0
700.001826, 10.000017, 85, 85, 0
710.001739, 9.999913, 73, 73, 0
720.001806, 10.000067, 65, 65, 0
730.001723, 9.999917, 82, 82, 0
740.001713, 9.99999, 82, 82, 0
750.001706, 9.999993, 105, 105, 0
760.001727, 10.000021, 76, 76, 0
770.001679, 9.999952, 83, 83, 0
780.001711, 10.000032, 86, 86, 0
790.001756, 10.000045, 78, 78, 0
800.001684, 9.999928, 89, 89, 0
810.001699, 10.000015, 75, 75, 0
820.001952, 10.000253, 75, 75, 0
830.001771, 9.999819, 76, 76, 0
840.001667, 9.999896, 76, 76, 0
850.001889, 10.000222, 75, 75, 0
860.001854, 9.999965, 64, 64, 0
870.00163, 9.999776, 69, 69, 0
880.001809, 10.000179, 79, 79, 0
890.001766, 9.999957, 73, 73, 0
900.001626, 9.99986, 73, 73, 0
910.001888, 10.000262, 143, 143, 0
920.001636, 9.999748, 129, 129, 0
930.001741, 10.000105, 132, 132, 0
940.001616, 9.999875, 119, 119, 0
950.001655, 10.000039, 113, 113, 0
960.001647, 9.999992, 136, 136, 0
970.001867, 10.00022, 130, 130, 0
980.001766, 9.999899, 132, 132, 0
990.001791, 10.000025, 140, 140, 0
1000.002363, 10.000572, 160, 160, 0
1010.000683, 9.99832, 136, 136, 0
1020.00174, 10.001057, 138, 138, 0
1030.001633, 9.999893, 122, 122, 0
1040.001769, 10.000136, 123, 123, 0
1050.001738, 9.999969, 124, 124, 0
1060.001725, 9.999987, 145, 145, 0
1070.001632, 9.999907, 119, 119, 0
1080.001722, 10.00009, 116, 116, 0
1090.001659, 9.999937, 114, 114, 0
1100.001736, 10.000077, 120, 120, 0
1110.00165, 9.999914, 135, 135, 0
1120.003359, 10.001709, 136, 136, 0
1130.000816, 9.997457, 135, 135, 0
1140.001902, 10.001086, 129, 129, 0
1150.00199, 10.000088, 137, 137, 0
1160.001887, 9.999897, 138, 138, 0
1170.002076, 10.000189, 110, 110, 0
1180.001502, 9.999426, 136, 136, 0
1190.0013, 9.999798, 130, 130, 0
1200.001135, 9.999835, 141, 141, 0
1201.008031, 1.006896, 12, 12, 0
