elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000764, 10.000764, 14, 476, 925.0, 1083, 1233, 1236, 1236, 1236, 0
20.001758, 10.000994, 17, 469, 1138.6, 1117, 1462, 2220, 2220, 2220, 0
30.001781, 10.000023, 14, 820, 1385.6, 1106, 1895, 4201, 4201, 4201, 0
40.001853, 10.000072, 19, 561, 1064.5, 1054, 1238, 1895, 1895, 1895, 0
50.001874, 10.000021, 10, 869, 1230.7, 1153, 1305, 2338, 2338, 2338, 0
60.001802, 9.999928, 18, 391, 1049.4, 1117, 1436, 1638, 1638, 1638, 0
70.001885, 10.000083, 13, 391, 873.1, 1022, 1152, 1155, 1155, 1155, 0
80.001829, 9.999944, 20, 544, 1042.6, 1090, 1212, 1278, 1278, 1278, 0
90.002013, 10.000184, 13, 479, 1081.0, 1085, 1161, 3103, 3103, 3103, 0
100.00183, 9.999817, 7, 479, 972.3, 1113, 1240, 1240, 1240, 1240, 0
110.00172, 9.99989, 12, 718, 1141.8, 1134, 1311, 1366, 1366, 1366, 0
120.001908, 10.000188, 15, 520, 1292.7, 1108, 1297, 4807, 4807, 4807, 0
130.001965, 10.000057, 16, 385, 920.9, 1097, 1181, 1212, 1212, 1212, 0
140.001666, 9.999701, 12, 726, 1099.9, 1149, 1278, 1311, 1311, 1311, 0
150.001721, 10.000055, 16, 726, 1117.8, 1150, 1277, 1322, 1322, 1322, 0
160.001718, 9.999997, 23, 864, 1168.3, 1143, 1327, 2084, 2084, 2084, 0
170.002002, 10.000284, 20, 486, 1024.8, 1110, 1226, 1320, 1320, 1320, 0
180.00191, 9.999908, 20, 437, 979.7, 1097, 1385, 1742, 1742, 1742, 0
190.001721, 9.999811, 21, 454, 1242.0, 1104, 1294, 5722, 5722, 5722, 0
200.001869, 10.000148, 25, 438, 962.3, 1028, 1173, 1219, 1219, 1219, 0
210.001725, 9.999856, 13, 997, 1147.0, 1139, 1267, 1360, 1360, 1360, 0
220.00187, 10.000145, 19, 315, 950.8, 1102, 1352, 1507, 1507, 1507, 0
230.001855, 9.999985, 18, 391, 961.7, 1023, 1179, 1240, 1240, 1240, 0
240.001841, 9.999986, 18, 514, 998.7, 1123, 1333, 1387, 1387, 1387, 0
250.001825, 9.999984, 19, 352, 969.8, 1091, 1189, 1303, 1303, 1303, 0
260.00181, 9.999985, 16, 502, 997.7, 1085, 1196, 1280, 1280, 1280, 0
270.001728, 9.999918, 30, 449, 1003.1, 1025, 1215, 1582, 1582, 1582, 0
280.001745, 10.000017, 15, 961, 1154.1, 1116, 1316, 1784, 1784, 1784, 0
290.001721, 9.999976, 22, 372, 945.3, 1023, 1248, 1408, 1408, 1408, 0
300.002408, 10.000687, 14, 543, 1030.5, 1075, 1167, 1248, 1248, 1248, 0
310.002458, 10.00005, 54, 412, 933.7, 756, 2042, 2883, 3029, 3029, 0
320.001132, 9.998674, 42, 460, 1072.8, 1029, 1321, 4511, 4511, 4511, 0
330.000754, 9.999622, 33, 447, 990.5, 994, 1270, 3782, 3782, 3782, 0
340.001667, 10.000913, 31, 474, 1086.5, 1083, 1292, 2769, 2769, 2769, 0
350.001835, 10.000168, 59, 568, 1082.1, 1041, 1645, 2849, 3531, 3531, 0
360.001679, 9.999844, 53, 410, 1227.7, 1001, 4109, 4479, 5409, 5409, 0
370.001646, 9.999967, 28, 465, 1533.7, 1135, 2701, 4702, 4702, 4702, 0
380.001727, 10.000081, 43, 539, 1046.2, 1038, 1234, 3938, 3938, 3938, 0
390.001729, 10.000002, 42, 493, 1142.4, 1068, 2625, 3283, 3283, 3283, 0
400.001992, 10.000263, 43, 398, 1081.9, 1072, 1638, 2511, 2511, 2511, 0
